T30,Internet Usage,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
643,Russian Federation,2023,Percentage of individuals using the internet,92.2,Population aged 15 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
646,Rwanda,2005,Percentage of individuals using the internet,0.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
646,Rwanda,2010,Percentage of individuals using the internet,8.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
646,Rwanda,2015,Percentage of individuals using the internet,12.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
646,Rwanda,2020,Percentage of individuals using the internet,23.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
646,Rwanda,2021,Percentage of individuals using the internet,24.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
646,Rwanda,2022,Percentage of individuals using the internet,31.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
646,Rwanda,2023,Percentage of individuals using the internet,34.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
654,Saint Helena,2005,Percentage of individuals using the internet,15.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
654,Saint Helena,2010,Percentage of individuals using the internet,24.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
655,Ascension,2010,Percentage of individuals using the internet,35.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
659,Saint Kitts and Nevis,2005,Percentage of individuals using the internet,34.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
659,Saint Kitts and Nevis,2010,Percentage of individuals using the internet,63.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
659,Saint Kitts and Nevis,2015,Percentage of individuals using the internet,66.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
659,Saint Kitts and Nevis,2020,Percentage of individuals using the internet,70.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
659,Saint Kitts and Nevis,2021,Percentage of individuals using the internet,74.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
659,Saint Kitts and Nevis,2022,Percentage of individuals using the internet,75.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
659,Saint Kitts and Nevis,2023,Percentage of individuals using the internet,76.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
662,Saint Lucia,2005,Percentage of individuals using the internet,21.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
662,Saint Lucia,2010,Percentage of individuals using the internet,32.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
662,Saint Lucia,2015,Percentage of individuals using the internet,57.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
662,Saint Lucia,2020,Percentage of individuals using the internet,62.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
662,Saint Lucia,2021,Percentage of individuals using the internet,63.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
662,Saint Lucia,2022,Percentage of individuals using the internet,65.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
662,Saint Lucia,2023,Percentage of individuals using the internet,70.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
670,Saint Vincent & Grenadines,2005,Percentage of individuals using the internet,9.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
670,Saint Vincent & Grenadines,2010,Percentage of individuals using the internet,33.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
670,Saint Vincent & Grenadines,2015,Percentage of individuals using the internet,49.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
670,Saint Vincent & Grenadines,2020,Percentage of individuals using the internet,63.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
670,Saint Vincent & Grenadines,2021,Percentage of individuals using the internet,67.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
670,Saint Vincent & Grenadines,2022,Percentage of individuals using the internet,71.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
670,Saint Vincent & Grenadines,2023,Percentage of individuals using the internet,76.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
882,Samoa,2005,Percentage of individuals using the internet,3.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
882,Samoa,2010,Percentage of individuals using the internet,7.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
882,Samoa,2015,Percentage of individuals using the internet,25.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
882,Samoa,2020,Percentage of individuals using the internet,51.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
882,Samoa,2021,Percentage of individuals using the internet,56.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
882,Samoa,2022,Percentage of individuals using the internet,57.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
882,Samoa,2023,Percentage of individuals using the internet,58.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
674,San Marino,2005,Percentage of individuals using the internet,50.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
674,San Marino,2020,Percentage of individuals using the internet,78.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
674,San Marino,2021,Percentage of individuals using the internet,81.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
674,San Marino,2022,Percentage of individuals using the internet,85.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
674,San Marino,2023,Percentage of individuals using the internet,87.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
678,Sao Tome and Principe,2005,Percentage of individuals using the internet,13.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
678,Sao Tome and Principe,2010,Percentage of individuals using the internet,18.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
678,Sao Tome and Principe,2015,Percentage of individuals using the internet,25.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
678,Sao Tome and Principe,2020,Percentage of individuals using the internet,51.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
678,Sao Tome and Principe,2021,Percentage of individuals using the internet,61.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
678,Sao Tome and Principe,2022,Percentage of individuals using the internet,61.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
678,Sao Tome and Principe,2023,Percentage of individuals using the internet,61.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
682,Saudi Arabia,2005,Percentage of individuals using the internet,12.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
682,Saudi Arabia,2010,Percentage of individuals using the internet,41.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
682,Saudi Arabia,2015,Percentage of individuals using the internet,69.6,Population aged 12 to 65 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
682,Saudi Arabia,2020,Percentage of individuals using the internet,97.9,Population aged 10 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
682,Saudi Arabia,2021,Percentage of individuals using the internet,100.0,Population aged 15 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
682,Saudi Arabia,2022,Percentage of individuals using the internet,100.0,Population aged 15 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
682,Saudi Arabia,2023,Percentage of individuals using the internet,100.0,Population aged 15 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
686,Senegal,2005,Percentage of individuals using the internet,4.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
686,Senegal,2010,Percentage of individuals using the internet,8.0,Estimate.;Refers to total population.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
686,Senegal,2015,Percentage of individuals using the internet,21.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
686,Senegal,2020,Percentage of individuals using the internet,53.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
686,Senegal,2021,Percentage of individuals using the internet,57.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
686,Senegal,2022,Percentage of individuals using the internet,59.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
686,Senegal,2023,Percentage of individuals using the internet,60.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
688,Serbia,2005,Percentage of individuals using the internet,26.3,Estimate.;Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
688,Serbia,2010,Percentage of individuals using the internet,40.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
688,Serbia,2015,Percentage of individuals using the internet,65.3,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
688,Serbia,2020,Percentage of individuals using the internet,78.4,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
688,Serbia,2021,Percentage of individuals using the internet,81.2,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
688,Serbia,2022,Percentage of individuals using the internet,83.5,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
688,Serbia,2023,Percentage of individuals using the internet,85.4,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
690,Seychelles,2005,Percentage of individuals using the internet,25.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
690,Seychelles,2010,Percentage of individuals using the internet,41.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
690,Seychelles,2015,Percentage of individuals using the internet,54.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
690,Seychelles,2020,Percentage of individuals using the internet,84.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
690,Seychelles,2021,Percentage of individuals using the internet,87.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
690,Seychelles,2022,Percentage of individuals using the internet,87.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
690,Seychelles,2023,Percentage of individuals using the internet,87.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
694,Sierra Leone,2005,Percentage of individuals using the internet,0.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
694,Sierra Leone,2010,Percentage of individuals using the internet,0.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
694,Sierra Leone,2015,Percentage of individuals using the internet,6.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
694,Sierra Leone,2020,Percentage of individuals using the internet,17.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
694,Sierra Leone,2021,Percentage of individuals using the internet,18.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
694,Sierra Leone,2022,Percentage of individuals using the internet,19.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
694,Sierra Leone,2023,Percentage of individuals using the internet,20.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
702,Singapore,2005,Percentage of individuals using the internet,61.0,Population aged 15 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
702,Singapore,2010,Percentage of individuals using the internet,71.0,Population aged 7 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
702,Singapore,2015,Percentage of individuals using the internet,79.0,Population aged 7 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
702,Singapore,2020,Percentage of individuals using the internet,92.0,Population aged 7 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
702,Singapore,2021,Percentage of individuals using the internet,96.9,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
702,Singapore,2022,Percentage of individuals using the internet,96.0,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
702,Singapore,2023,Percentage of individuals using the internet,94.3,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
703,Slovakia,2005,Percentage of individuals using the internet,55.2,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
703,Slovakia,2010,Percentage of individuals using the internet,75.7,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
703,Slovakia,2015,Percentage of individuals using the internet,77.6,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
703,Slovakia,2020,Percentage of individuals using the internet,89.9,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
703,Slovakia,2021,Percentage of individuals using the internet,88.9,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
703,Slovakia,2022,Percentage of individuals using the internet,89.1,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
703,Slovakia,2023,Percentage of individuals using the internet,87.2,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
705,Slovenia,2005,Percentage of individuals using the internet,46.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
705,Slovenia,2010,Percentage of individuals using the internet,70.0,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
705,Slovenia,2015,Percentage of individuals using the internet,73.1,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
705,Slovenia,2020,Percentage of individuals using the internet,86.6,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
705,Slovenia,2021,Percentage of individuals using the internet,89.0,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
705,Slovenia,2022,Percentage of individuals using the internet,88.9,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
705,Slovenia,2023,Percentage of individuals using the internet,90.4,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
90,Solomon Islands,2005,Percentage of individuals using the internet,0.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
90,Solomon Islands,2010,Percentage of individuals using the internet,5.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
90,Solomon Islands,2015,Percentage of individuals using the internet,10.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
90,Solomon Islands,2020,Percentage of individuals using the internet,33.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
90,Solomon Islands,2021,Percentage of individuals using the internet,41.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
90,Solomon Islands,2022,Percentage of individuals using the internet,42.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
90,Solomon Islands,2023,Percentage of individuals using the internet,42.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
706,Somalia,2005,Percentage of individuals using the internet,1.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
706,Somalia,2015,Percentage of individuals using the internet,1.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
706,Somalia,2020,Percentage of individuals using the internet,15.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
706,Somalia,2022,Percentage of individuals using the internet,27.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
710,South Africa,2005,Percentage of individuals using the internet,7.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
710,South Africa,2010,Percentage of individuals using the internet,24.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
710,South Africa,2015,Percentage of individuals using the internet,51.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
710,South Africa,2020,Percentage of individuals using the internet,72.1,Estimate.;Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
710,South Africa,2021,Percentage of individuals using the internet,75.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
710,South Africa,2022,Percentage of individuals using the internet,75.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
710,South Africa,2023,Percentage of individuals using the internet,75.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
728,South Sudan,2015,Percentage of individuals using the internet,3.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
728,South Sudan,2020,Percentage of individuals using the internet,9.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
724,Spain,2005,Percentage of individuals using the internet,47.9,Population aged 16 to 74 years.;Users in the last 12 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
724,Spain,2010,Percentage of individuals using the internet,65.8,Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
724,Spain,2015,Percentage of individuals using the internet,78.7,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
724,Spain,2020,Percentage of individuals using the internet,93.2,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
724,Spain,2021,Percentage of individuals using the internet,93.9,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
724,Spain,2022,Percentage of individuals using the internet,94.5,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
724,Spain,2023,Percentage of individuals using the internet,95.4,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
144,Sri Lanka,2005,Percentage of individuals using the internet,1.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
144,Sri Lanka,2015,Percentage of individuals using the internet,15.3,Estimate.;Users in the last 12 months.;Population aged 5 to 69 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
144,Sri Lanka,2020,Percentage of individuals using the internet,36.2,Population aged 5 to 69 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
144,Sri Lanka,2021,Percentage of individuals using the internet,44.5,Population aged 5 to 69 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
144,Sri Lanka,2022,Percentage of individuals using the internet,48.3,Population aged 5 to 69 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
144,Sri Lanka,2023,Percentage of individuals using the internet,51.2,Population aged 5 to 69 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
275,State of Palestine,2005,Percentage of individuals using the internet,16.0,Estimate.;Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
275,State of Palestine,2010,Percentage of individuals using the internet,37.4,Estimate.;Refers to total population.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
275,State of Palestine,2015,Percentage of individuals using the internet,56.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
275,State of Palestine,2020,Percentage of individuals using the internet,76.0,Estimate.;Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
275,State of Palestine,2021,Percentage of individuals using the internet,82.2,Estimate.;Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
275,State of Palestine,2022,Percentage of individuals using the internet,88.6,Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
275,State of Palestine,2023,Percentage of individuals using the internet,86.6,Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
729,Sudan,2005,Percentage of individuals using the internet,1.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
729,Sudan,2020,Percentage of individuals using the internet,26.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
740,Suriname,2005,Percentage of individuals using the internet,6.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
740,Suriname,2010,Percentage of individuals using the internet,31.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
740,Suriname,2015,Percentage of individuals using the internet,42.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
740,Suriname,2020,Percentage of individuals using the internet,69.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
740,Suriname,2021,Percentage of individuals using the internet,76.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
740,Suriname,2022,Percentage of individuals using the internet,77.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
740,Suriname,2023,Percentage of individuals using the internet,78.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
752,Sweden,2005,Percentage of individuals using the internet,84.8,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
752,Sweden,2010,Percentage of individuals using the internet,90.0,Population aged 16 to 75 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
752,Sweden,2015,Percentage of individuals using the internet,90.6,Population aged 16 to 85 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
752,Sweden,2020,Percentage of individuals using the internet,94.5,Population aged 16 to 85 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
752,Sweden,2021,Percentage of individuals using the internet,94.7,Population aged 16 to 85 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
752,Sweden,2022,Percentage of individuals using the internet,95.0,Population aged 16 to 85 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
752,Sweden,2023,Percentage of individuals using the internet,95.7,Population aged 16 to 85 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
756,Switzerland,2005,Percentage of individuals using the internet,70.1,Population aged 14 years and over.;Users in the last 6 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
756,Switzerland,2010,Percentage of individuals using the internet,83.9,Population aged 14 years and over.;Users in the last 6 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
756,Switzerland,2015,Percentage of individuals using the internet,87.5,Population aged 14 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
756,Switzerland,2020,Percentage of individuals using the internet,94.3,Estimate.;Population aged 15 to 88 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
756,Switzerland,2021,Percentage of individuals using the internet,95.6,Population aged 15 to 88 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
756,Switzerland,2022,Percentage of individuals using the internet,96.5,Estimate.;Population aged 15 to 88 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
756,Switzerland,2023,Percentage of individuals using the internet,97.3,Population aged 15 to 88 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
760,Syrian Arab Republic,2005,Percentage of individuals using the internet,5.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
760,Syrian Arab Republic,2010,Percentage of individuals using the internet,20.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
760,Syrian Arab Republic,2015,Percentage of individuals using the internet,30.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
762,Tajikistan,2005,Percentage of individuals using the internet,0.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
762,Tajikistan,2010,Percentage of individuals using the internet,11.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
762,Tajikistan,2015,Percentage of individuals using the internet,19.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
762,Tajikistan,2020,Percentage of individuals using the internet,27.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
762,Tajikistan,2021,Percentage of individuals using the internet,49.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
762,Tajikistan,2022,Percentage of individuals using the internet,53.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
762,Tajikistan,2023,Percentage of individuals using the internet,56.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
764,Thailand,2005,Percentage of individuals using the internet,15.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
764,Thailand,2010,Percentage of individuals using the internet,22.4,Population aged 6 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
764,Thailand,2015,Percentage of individuals using the internet,39.3,Population aged 6 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
764,Thailand,2020,Percentage of individuals using the internet,77.8,Population aged 6 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
764,Thailand,2021,Percentage of individuals using the internet,85.3,Population aged 6 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
764,Thailand,2022,Percentage of individuals using the internet,88.0,Population aged 6 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
764,Thailand,2023,Percentage of individuals using the internet,89.5,Population aged 6 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
626,Timor-Leste,2005,Percentage of individuals using the internet,0.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
626,Timor-Leste,2010,Percentage of individuals using the internet,3.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
