T30,Internet Usage,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
28,Antigua and Barbuda,2005,Percentage of individuals using the internet,27.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
28,Antigua and Barbuda,2010,Percentage of individuals using the internet,47.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
28,Antigua and Barbuda,2015,Percentage of individuals using the internet,70.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
28,Antigua and Barbuda,2020,Percentage of individuals using the internet,75.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
28,Antigua and Barbuda,2021,Percentage of individuals using the internet,76.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
28,Antigua and Barbuda,2022,Percentage of individuals using the internet,77.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
28,Antigua and Barbuda,2023,Percentage of individuals using the internet,77.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
32,Argentina,2005,Percentage of individuals using the internet,17.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
32,Argentina,2010,Percentage of individuals using the internet,45.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
32,Argentina,2015,Percentage of individuals using the internet,68.0,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
32,Argentina,2020,Percentage of individuals using the internet,85.5,Population aged 4 and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
32,Argentina,2021,Percentage of individuals using the internet,87.2,Population aged 4 and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
32,Argentina,2022,Percentage of individuals using the internet,88.4,Population aged 4 and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
32,Argentina,2023,Percentage of individuals using the internet,89.2,Population aged 4 and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
51,Armenia,2005,Percentage of individuals using the internet,5.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
51,Armenia,2010,Percentage of individuals using the internet,25.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
51,Armenia,2015,Percentage of individuals using the internet,59.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
51,Armenia,2020,Percentage of individuals using the internet,76.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
51,Armenia,2021,Percentage of individuals using the internet,78.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
51,Armenia,2022,Percentage of individuals using the internet,77.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
