"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"Cód.";"Município";"Ano x Tipo de rebanho"
"Cód.";"Município";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Cód.";"Município";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino"
"1100908";"Castanheiras (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"19800";"22000";"22880";"49498";"54448";"63753";"65028";"71531";"81764";"109383";"118279";"124885";"124302";"111712";"93252";"97953";"101166";"105459";"107274";"104658";"103463";"108859";"111974";"112474";"109587";"114751";"110348";"110987";"113913";"121721";"120944";"120500"
"1100924";"Chupinguaia (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"96053";"164462";"180908";"198094";"310711";"319307";"315298";"327362";"302250";"306181";"297586";"288991";"288820";"291492";"295873";"302427";"298301";"317650";"360455";"357566";"350128";"347241";"344137";"357045";"331334";"366857";"393635";"388150"
"1100940";"Cujubim (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"19488";"22688";"24956";"27452";"43775";"48459";"63006";"83200";"97144";"114223";"112645";"123244";"133254";"146788";"151213";"146325";"146686";"161574";"168770";"180316";"197405";"209176";"212325";"214798";"221345";"277002";"298121";"304182"
"1101005";"Governador Jorge Teixeira (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"39600";"43568";"52300";"53579";"58937";"69010";"75911";"83502";"126592";"180821";"171247";"197981";"222454";"231470";"228410";"238092";"242948";"243821";"372401";"263085";"263640";"265120";"276082";"279947";"284364";"280259";"274933";"283199";"289137";"335150";"358344";"374840"
"1101104";"Itapuã do Oeste (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"20000";"6600";"10000";"14811";"15793";"18492";"20341";"22375";"45953";"54864";"60426";"70212";"81127";"78578";"75584";"69677";"76644";"79960";"75080";"73071";"75702";"81438";"84506";"87846";"87722";"95028";"94892";"91600";"96389";"107252";"103825";"102089"
"1101203";"Ministro Andreazza (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"71563";"45000";"47250";"48778";"53656";"62826";"64083";"65403";"69840";"78631";"92776";"108374";"115465";"113476";"107190";"110410";"112236";"113034";"115755";"120122";"119537";"122546";"128252";"134436";"136175";"129642";"127192";"130873";"133658";"159783";"161374";"161980"
"1101302";"Mirante da Serra (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"16400";"18040";"21640";"35590";"39149";"45840";"50424";"55466";"64307";"77248";"89361";"99672";"103407";"106692";"102159";"102486";"103900";"104818";"105471";"109068";"110969";"117450";"124192";"124804";"124788";"125999";"124997";"125448";"127089";"145135";"147927";"148980"
"1101401";"Monte Negro (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"43000";"29315";"56336";"43149";"47464";"55576";"61134";"67247";"126049";"148610";"172021";"199418";"223065";"234456";"231447";"232887";"240209";"249420";"257043";"257349";"258038";"273072";"290367";"288694";"299342";"305337";"302911";"309675";"325178";"403392";"411890";"423267"
"1101435";"Nova União (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"64316";"75300";"76806";"84159";"72636";"97003";"107855";"119347";"127248";"125556";"118334";"118207";"123570";"126990";"126513";"132292";"133635";"135796";"140449";"143411";"148214";"149370";"145648";"145021";"146152";"170097";"173525";"176600"
"1101450";"Parecis (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"53077";"69300";"76230";"46240";"76782";"95259";"117125";"136149";"151216";"159493";"130780";"127928";"144200";"144436";"157501";"155437";"160015";"169207";"171220";"174178";"176568";"178331";"185513";"189292";"179388";"212108";"203802";"202150"
"1101468";"Pimenteiras do Oeste (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"68641";"80468";"88515";"90727";"86533";"93621";"104237";"109886";"108165";"126115";"122092";"117945";"119378";"118278";"121781";"116700";"119218";"118169";"142601";"133875";"126889";"138696";"114046";"119006";"125967";"118722";"113773";"115150"
"1101476";"Primavera de Rondônia (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"55019";"64540";"65831";"72414";"53919";"74521";"77793";"74738";"75035";"70595";"68239";"68064";"67449";"71837";"71181";"72273";"72879";"72923";"79478";"76826";"74448";"75096";"76120";"75718";"79701";"91824";"88149";"87980"
"1101484";"São Felipe D'Oeste (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"36591";"42781";"43637";"47319";"45475";"61658";"55299";"99074";"103994";"98444";"92760";"91924";"93368";"94485";"93022";"93767";"94617";"99811";"101515";"102749";"104548";"106037";"107922";"109512";"114002";"122746";"116033";"117520"
"1101492";"São Francisco do Guaporé (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"22034";"25813";"28394";"31234";"117870";"145214";"212196";"267254";"309739";"356298";"366361";"367014";"387330";"418428";"422150";"435470";"435786";"446567";"450615";"444565";"440897";"447277";"444048";"453890";"460585";"525537";"528470";"498550"
"1101500";"Seringueiras (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"19000";"40850";"43423";"42886";"40453";"47348";"52083";"57291";"47430";"106652";"140224";"163639";"183245";"189311";"167263";"167129";"175196";"180213";"183999";"187029";"186278";"189773";"206046";"217499";"216579";"209322";"204612";"218743";"225651";"276425";"295689";"291200"
"1101559";"Teixeirópolis (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"49528";"58081";"59243";"60696";"40360";"68127";"69454";"86530";"90519";"84799";"85631";"86986";"89927";"93479";"95241";"96109";"96628";"97200";"98334";"101089";"101765";"101214";"100129";"101523";"103846";"117663";"117633";"119500"
"1101609";"Theobroma (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"28980";"26080";"28070";"74939";"82433";"96521";"106173";"116790";"160412";"134428";"212596";"233603";"255134";"262905";"247848";"242849";"239159";"253717";"259440";"250974";"240540";"257790";"267952";"262109";"278846";"279830";"274396";"269709";"272953";"304610";"316742";"317280"
