UF,Tipo Crime,Ano,Mês,Ocorrências
ALAGOAS,ESTUPRO,2022,NOVEMBRO,4
ALAGOAS,FURTO DE VEÍCULO,2022,NOVEMBRO,155
ALAGOAS,HOMICÍDIO DOLOSO,2022,NOVEMBRO,83
ALAGOAS,ROUBO DE CARGA,2022,NOVEMBRO,3
ALAGOAS,ROUBO DE VEÍCULO,2022,NOVEMBRO,145
ALAGOAS,TENTATIVA DE HOMICÍDIO,2022,NOVEMBRO,79
ALAGOAS,ESTUPRO,2022,DEZEMBRO,57
ALAGOAS,FURTO DE VEÍCULO,2022,DEZEMBRO,231
ALAGOAS,HOMICÍDIO DOLOSO,2022,DEZEMBRO,103
ALAGOAS,ROUBO DE CARGA,2022,DEZEMBRO,2
ALAGOAS,ROUBO DE VEÍCULO,2022,DEZEMBRO,183
ALAGOAS,TENTATIVA DE HOMICÍDIO,2022,DEZEMBRO,67
AMAPÁ,ESTUPRO,2022,JANEIRO,7
AMAPÁ,FURTO DE VEÍCULO,2022,JANEIRO,30
AMAPÁ,HOMICÍDIO DOLOSO,2022,JANEIRO,16
AMAPÁ,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JANEIRO,0
AMAPÁ,ROUBO A INSTITUIÇÃO FINANCEIRA,2022,JANEIRO,0
AMAPÁ,ROUBO DE CARGA,2022,JANEIRO,0
AMAPÁ,ROUBO DE VEÍCULO,2022,JANEIRO,39
AMAPÁ,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JANEIRO,5
AMAPÁ,TENTATIVA DE HOMICÍDIO,2022,JANEIRO,18
AMAPÁ,ESTUPRO,2022,FEVEREIRO,13
AMAPÁ,FURTO DE VEÍCULO,2022,FEVEREIRO,120
AMAPÁ,HOMICÍDIO DOLOSO,2022,FEVEREIRO,20
AMAPÁ,LESÃO CORPORAL SEGUIDA DE MORTE,2022,FEVEREIRO,0
AMAPÁ,ROUBO A INSTITUIÇÃO FINANCEIRA,2022,FEVEREIRO,0
AMAPÁ,ROUBO DE CARGA,2022,FEVEREIRO,0
AMAPÁ,ROUBO DE VEÍCULO,2022,FEVEREIRO,25
AMAPÁ,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,FEVEREIRO,2
AMAPÁ,TENTATIVA DE HOMICÍDIO,2022,FEVEREIRO,12
AMAPÁ,ESTUPRO,2022,MARÇO,5
AMAPÁ,FURTO DE VEÍCULO,2022,MARÇO,28
AMAPÁ,HOMICÍDIO DOLOSO,2022,MARÇO,12
AMAPÁ,LESÃO CORPORAL SEGUIDA DE MORTE,2022,MARÇO,1
AMAPÁ,ROUBO A INSTITUIÇÃO FINANCEIRA,2022,MARÇO,0
AMAPÁ,ROUBO DE CARGA,2022,MARÇO,1
AMAPÁ,ROUBO DE VEÍCULO,2022,MARÇO,37
AMAPÁ,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,MARÇO,1
AMAPÁ,TENTATIVA DE HOMICÍDIO,2022,MARÇO,10
AMAPÁ,ESTUPRO,2022,ABRIL,10
AMAPÁ,FURTO DE VEÍCULO,2022,ABRIL,35
AMAPÁ,HOMICÍDIO DOLOSO,2022,ABRIL,15
AMAPÁ,LESÃO CORPORAL SEGUIDA DE MORTE,2022,ABRIL,0
AMAPÁ,ROUBO A INSTITUIÇÃO FINANCEIRA,2022,ABRIL,1
AMAPÁ,ROUBO DE CARGA,2022,ABRIL,5
AMAPÁ,ROUBO DE VEÍCULO,2022,ABRIL,42
AMAPÁ,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,ABRIL,2
AMAPÁ,TENTATIVA DE HOMICÍDIO,2022,ABRIL,15
AMAPÁ,ESTUPRO,2022,MAIO,12
AMAPÁ,FURTO DE VEÍCULO,2022,MAIO,26
AMAPÁ,HOMICÍDIO DOLOSO,2022,MAIO,13
AMAPÁ,LESÃO CORPORAL SEGUIDA DE MORTE,2022,MAIO,2
AMAPÁ,ROUBO DE VEÍCULO,2022,MAIO,29
AMAPÁ,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,MAIO,2
AMAPÁ,TENTATIVA DE HOMICÍDIO,2022,MAIO,19
AMAPÁ,ESTUPRO,2022,JUNHO,12
AMAPÁ,FURTO DE VEÍCULO,2022,JUNHO,21
AMAPÁ,HOMICÍDIO DOLOSO,2022,JUNHO,13
AMAPÁ,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JUNHO,3
AMAPÁ,ROUBO A INSTITUIÇÃO FINANCEIRA,2022,JUNHO,1
AMAPÁ,ROUBO DE VEÍCULO,2022,JUNHO,20
AMAPÁ,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JUNHO,2
AMAPÁ,TENTATIVA DE HOMICÍDIO,2022,JUNHO,16
AMAPÁ,ESTUPRO,2022,JULHO,9
AMAPÁ,FURTO DE VEÍCULO,2022,JULHO,18
AMAPÁ,HOMICÍDIO DOLOSO,2022,JULHO,13
AMAPÁ,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JULHO,2
AMAPÁ,ROUBO DE VEÍCULO,2022,JULHO,25
AMAPÁ,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JULHO,1
AMAPÁ,TENTATIVA DE HOMICÍDIO,2022,JULHO,27
AMAPÁ,ESTUPRO,2022,AGOSTO,8
AMAPÁ,FURTO DE VEÍCULO,2022,AGOSTO,26
AMAPÁ,HOMICÍDIO DOLOSO,2022,AGOSTO,22
AMAPÁ,LESÃO CORPORAL SEGUIDA DE MORTE,2022,AGOSTO,1
AMAPÁ,ROUBO A INSTITUIÇÃO FINANCEIRA,2022,AGOSTO,1
AMAPÁ,ROUBO DE CARGA,2022,AGOSTO,6
AMAPÁ,ROUBO DE VEÍCULO,2022,AGOSTO,34
AMAPÁ,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,AGOSTO,1
AMAPÁ,TENTATIVA DE HOMICÍDIO,2022,AGOSTO,12
AMAPÁ,ESTUPRO,2022,SETEMBRO,14
AMAPÁ,FURTO DE VEÍCULO,2022,SETEMBRO,26
AMAPÁ,HOMICÍDIO DOLOSO,2022,SETEMBRO,11
AMAPÁ,LESÃO CORPORAL SEGUIDA DE MORTE,2022,SETEMBRO,3
AMAPÁ,ROUBO A INSTITUIÇÃO FINANCEIRA,2022,SETEMBRO,1
AMAPÁ,ROUBO DE CARGA,2022,SETEMBRO,5
AMAPÁ,ROUBO DE VEÍCULO,2022,SETEMBRO,34
AMAPÁ,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,SETEMBRO,4
AMAPÁ,TENTATIVA DE HOMICÍDIO,2022,SETEMBRO,9
AMAPÁ,ESTUPRO,2022,OUTUBRO,10
AMAPÁ,FURTO DE VEÍCULO,2022,OUTUBRO,28
AMAPÁ,HOMICÍDIO DOLOSO,2022,OUTUBRO,14
AMAPÁ,LESÃO CORPORAL SEGUIDA DE MORTE,2022,OUTUBRO,1
