UF,Tipo Crime,Ano,Mês,Sexo da Vítima,Vítimas
AMAPÁ,HOMICÍDIO DOLOSO,2022,DEZEMBRO,FEMININO,3
AMAPÁ,HOMICÍDIO DOLOSO,2022,DEZEMBRO,MASCULINO,23
AMAPÁ,HOMICÍDIO DOLOSO,2022,DEZEMBRO,SEXO NI,0
AMAPÁ,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JANEIRO,FEMININO,0
AMAPÁ,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JANEIRO,MASCULINO,0
AMAPÁ,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JANEIRO,SEXO NI,0
AMAPÁ,LESÃO CORPORAL SEGUIDA DE MORTE,2022,FEVEREIRO,FEMININO,0
AMAPÁ,LESÃO CORPORAL SEGUIDA DE MORTE,2022,FEVEREIRO,MASCULINO,0
AMAPÁ,LESÃO CORPORAL SEGUIDA DE MORTE,2022,FEVEREIRO,SEXO NI,0
AMAPÁ,LESÃO CORPORAL SEGUIDA DE MORTE,2022,MARÇO,FEMININO,0
AMAPÁ,LESÃO CORPORAL SEGUIDA DE MORTE,2022,MARÇO,MASCULINO,1
AMAPÁ,LESÃO CORPORAL SEGUIDA DE MORTE,2022,MARÇO,SEXO NI,0
AMAPÁ,LESÃO CORPORAL SEGUIDA DE MORTE,2022,MAIO,MASCULINO,2
AMAPÁ,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JUNHO,MASCULINO,2
AMAPÁ,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JULHO,MASCULINO,2
AMAPÁ,LESÃO CORPORAL SEGUIDA DE MORTE,2022,AGOSTO,MASCULINO,1
AMAPÁ,LESÃO CORPORAL SEGUIDA DE MORTE,2022,SETEMBRO,MASCULINO,1
AMAPÁ,LESÃO CORPORAL SEGUIDA DE MORTE,2022,OUTUBRO,FEMININO,1
AMAPÁ,LESÃO CORPORAL SEGUIDA DE MORTE,2022,NOVEMBRO,MASCULINO,2
AMAPÁ,LESÃO CORPORAL SEGUIDA DE MORTE,2022,DEZEMBRO,MASCULINO,2
AMAPÁ,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JANEIRO,FEMININO,0
AMAPÁ,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JANEIRO,MASCULINO,7
AMAPÁ,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JANEIRO,SEXO NI,0
AMAPÁ,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,FEVEREIRO,FEMININO,0
AMAPÁ,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,FEVEREIRO,MASCULINO,2
AMAPÁ,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,FEVEREIRO,SEXO NI,0
AMAPÁ,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,MARÇO,FEMININO,0
AMAPÁ,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,MARÇO,MASCULINO,1
AMAPÁ,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,MARÇO,SEXO NI,0
AMAPÁ,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,ABRIL,MASCULINO,2
AMAPÁ,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,MAIO,MASCULINO,2
AMAPÁ,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JUNHO,MASCULINO,3
AMAPÁ,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JULHO,MASCULINO,1
AMAPÁ,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,AGOSTO,MASCULINO,1
AMAPÁ,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,SETEMBRO,MASCULINO,2
AMAPÁ,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,DEZEMBRO,FEMININO,0
